source,target,observation_count,geometry_count,mare_percent,median_geometry_mare_percent,mean_geometry_prediction_range_percent_truth,median_geometry_prediction_range_percent_truth,max_geometry_prediction_range_percent_truth,coverage_count,coverage,coverage_ci_low,coverage_ci_high,relative_interval_width_mean_percent
procedural,centerline_length,64,8,1.2146625093099355,0.8605265279253639,2.4798384200926367,1.8754928398652733,6.986716113050658,64,1.0,0.9433759402071946,1.0,10.884219025199563
procedural,mean_width,64,8,1.1292194498809889,1.288603680879508,3.697185294546798,4.67679271544961,5.488370164223551,63,0.984375,0.9166589839990573,0.9972364580766624,10.006914244192956
procedural,max_width,64,8,2.6253128157546852,2.4379768665581976,4.1163903906989034,5.0613975225844,6.7376119733803295,63,0.984375,0.9166589839990573,0.9972364580766624,13.097427019696333
procedural,crack_area,64,8,1.898628955889334,1.5537765173206584,4.514752869462546,5.615012918527237,6.635511955753801,64,1.0,0.9433759402071946,1.0,12.75079350861218
photographic,centerline_length,128,8,2.214047542424695,1.5311580630787187,9.267712949307818,7.694208626037449,21.093200789028604,119,0.9296875,0.8717651965063937,0.96257023169606,10.98456472260327
photographic,mean_width,128,8,1.8507704848837185,1.6164208880878568,6.956036147395025,7.5040479217600655,11.692891811308607,121,0.9453125,0.8914150997002529,0.9732597986186536,10.001051696989888
photographic,max_width,128,8,3.8679777496287566,3.095460003867479,10.106585715328332,8.113380069595138,20.546010778666673,120,0.9375,0.8815120889557413,0.9679930743049387,13.008116999357563
photographic,crack_area,128,8,4.0962351123952185,3.3006496033703216,14.49781550265196,12.177381305537235,32.27562027371803,104,0.8125,0.7361508192928258,0.8706385830362314,12.900309624923562
