source,defect_seed,target,sample_count,truth,prediction_mean,bias,bias_percent_truth,mare_percent,prediction_std,prediction_iqr,prediction_range,prediction_range_percent_truth,coverage_count,coverage,interval_width_mean,relative_interval_width_mean_percent
photographic,10155,centerline_length,16,100.73223114013672,100.73996067047119,0.007729530334472656,0.0076733437222486255,1.2976481035811462,1.9996266256906143,1.3305606842041016,9.78466796875,9.713542386585045,14,0.875,7.423113471233705,7.36915422920278
photographic,10155,mean_width,16,0.8975409865379333,0.9067740216851234,0.009233035147190094,1.0287034559618824,1.156797783592092,0.012706142665692975,0.012464672327041626,0.04835247993469238,5.387216924900714,15,0.9375,0.06148234397148622,6.850087616459814
photographic,10155,max_width,16,1.144942045211792,1.1114287301898003,-0.03351331502199173,-2.9270752316369357,2.9270752316369357,0.010907035360796005,0.01680469512939453,0.03739666938781738,3.2662499856837495,16,1.0,0.10533254581727647,9.199814633219448
photographic,10155,crack_area,16,90.4112777709961,91.09369325637817,0.6824154853820801,0.7547902233066313,1.9971958510722054,2.4286332483287256,2.7754173278808594,9.149459838867188,10.119821403301007,14,0.875,7.669725503815471,8.483151320172931
photographic,10316,centerline_length,16,118.33891296386719,120.8872561454773,2.5483431816101074,2.153427911230012,2.153427911230012,2.098489722242588,1.0787391662597656,9.021690368652344,7.623604225101312,15,0.9375,9.418128527078693,7.958606591184728
photographic,10316,mean_width,16,0.5754179954528809,0.5865410901606083,0.011123094707727432,1.9330460283872486,2.3076661823724933,0.014307630733194299,0.01630990207195282,0.04908013343811035,8.529474890593574,15,0.9375,0.07950341379029391,13.816636674305085
photographic,10316,max_width,16,0.6350799798965454,0.6793543100357056,0.044274330139160156,6.971457381851724,6.971457381851724,0.03446243613815321,0.03327581286430359,0.11328738927841187,17.838286966133996,13,0.8125,0.1219735434665381,19.206012994836904
photographic,10316,crack_area,16,68.0943374633789,71.38607835769653,3.291740894317627,4.834089025519814,4.834089025519814,2.3881171934613805,1.1466560363769531,10.043769836425781,14.74978714908169,14,0.875,8.004051804723986,11.754357414856353
photographic,10558,centerline_length,16,73.8900146484375,75.80708932876587,1.9170746803283691,2.594497631986744,2.594497631986744,1.56019608328858,1.6012096405029297,5.487129211425781,7.426076767656743,14,0.875,7.986897080416043,10.809169707729833
photographic,10558,mean_width,16,0.9241170287132263,0.9374720267951488,0.013354998081922531,1.445163076425343,1.4756404769031903,0.009897895978570841,0.01443430781364441,0.032747507095336914,3.543653679982038,16,1.0,0.0673611754336556,7.289247285860723
