target,procedural_mare_percent,photographic_mare_percent,difference_mare_percent,procedural_median_geometry_mare_percent,photographic_median_geometry_mare_percent,difference_median_geometry_mare_percent,procedural_mean_geometry_prediction_range_percent_truth,photographic_mean_geometry_prediction_range_percent_truth,difference_mean_geometry_prediction_range_percent_truth,procedural_median_geometry_prediction_range_percent_truth,photographic_median_geometry_prediction_range_percent_truth,difference_median_geometry_prediction_range_percent_truth,procedural_max_geometry_prediction_range_percent_truth,photographic_max_geometry_prediction_range_percent_truth,difference_max_geometry_prediction_range_percent_truth,procedural_coverage,photographic_coverage,difference_coverage,procedural_relative_interval_width_mean_percent,photographic_relative_interval_width_mean_percent,difference_relative_interval_width_mean_percent
centerline_length,1.2146625093099355,2.214047542424695,0.9993850331147593,0.8605265279253639,1.5311580630787187,0.6706315351533548,2.4798384200926367,9.267712949307818,6.7878745292151805,1.8754928398652733,7.694208626037449,5.818715786172175,6.986716113050658,21.093200789028604,14.106484675977946,1.0,0.9296875,-0.0703125,10.884219025199563,10.98456472260327,0.10034569740370713
mean_width,1.1292194498809889,1.8507704848837185,0.7215510350027297,1.288603680879508,1.6164208880878568,0.3278172072083487,3.697185294546798,6.956036147395025,3.2588508528482274,4.67679271544961,7.5040479217600655,2.827255206310456,5.488370164223551,11.692891811308607,6.204521647085056,0.984375,0.9453125,-0.0390625,10.006914244192956,10.001051696989888,-0.0058625472030673365
max_width,2.6253128157546852,3.8679777496287566,1.2426649338740714,2.4379768665581976,3.095460003867479,0.6574831373092813,4.1163903906989034,10.106585715328332,5.990195324629429,5.0613975225844,8.113380069595138,3.051982547010738,6.7376119733803295,20.546010778666673,13.808398805286345,0.984375,0.9375,-0.046875,13.097427019696333,13.008116999357563,-0.08931002033877
crack_area,1.898628955889334,4.0962351123952185,2.1976061565058846,1.5537765173206584,3.3006496033703216,1.7468730860496633,4.514752869462546,14.49781550265196,9.983062633189414,5.615012918527237,12.177381305537235,6.5623683870099985,6.635511955753801,32.27562027371803,25.640108317964234,1.0,0.8125,-0.1875,12.75079350861218,12.900309624923562,0.14951611631138206
